L0,x,y,H0
0.0625,0.625,0.9375,0.0955174
0.0625,0.625,1.0,0.11597085
0.0625,0.625,1.0625,0.03705144
0.0625,0.625,1.125,0.045116186
0.0625,0.625,1.1875,0.044122934
0.0625,0.625,1.25,0.078154325
0.0625,0.625,1.3125,0.13918948
0.0625,0.625,1.375,0.073982
0.0625,0.625,1.4375,0.029437304
0.0625,0.625,1.5,0.04410243
0.0625,0.625,1.5625,0.086708546
0.0625,0.625,1.625,0.13848615
0.0625,0.625,1.6875,0.11199927
0.0625,0.625,1.75,0.022545576
0.0625,0.625,1.8125,0.13341284
0.0625,0.625,1.875,0.24174929
0.0625,0.625,1.9375,0.076759815
0.0625,0.6875,0.0,0.079072
0.0625,0.6875,0.0625,0.0316
0.0625,0.6875,0.125,0.2677033
0.0625,0.6875,0.1875,0.10278654
0.0625,0.6875,0.25,0.12821698
0.0625,0.6875,0.3125,0.09187245
0.0625,0.6875,0.375,0.11207366
0.0625,0.6875,0.4375,0.090219975
0.0625,0.6875,0.5,0.06858182
0.0625,0.6875,0.5625,0.055117846
0.0625,0.6875,0.625,0.07330251
0.0625,0.6875,0.6875,0.07552099
0.0625,0.6875,0.75,0.111413
0.0625,0.6875,0.8125,0.23200154
0.0625,0.6875,0.875,0.047400475
0.0625,0.6875,0.9375,0.037222624
0.0625,0.6875,1.0,0.061184645
0.0625,0.6875,1.0625,0.056629896
0.0625,0.6875,1.125,0.02783084
0.0625,0.6875,1.1875,0.014832735
0.0625,0.6875,1.25,0.03960991
0.0625,0.6875,1.3125,0.1345017
0.0625,0.6875,1.375,0.028571129
0.0625,0.6875,1.4375,0.023617506
0.0625,0.6875,1.5,0.044725418
0.0625,0.6875,1.5625,0.22139025
0.0625,0.6875,1.625,0.2136755
0.0625,0.6875,1.6875,0.027130842
0.0625,0.6875,1.75,0.030427694
0.0625,0.6875,1.8125,0.02544117
0.0625,0.6875,1.875,0.272259
0.0625,0.6875,1.9375,0.4185021
0.0625,0.75,0.0,0.11681843
0.0625,0.75,0.0625,0.043139696
0.0625,0.75,0.125,0.11925292
0.0625,0.75,0.1875,0.11632848
0.0625,0.75,0.25,0.085874796
0.0625,0.75,0.3125,0.06912756
0.0625,0.75,0.375,0.21254945
